Activity,Input,Process,Output
Saat mengetik sesuatu di keyboard,<ul><li>Data (huruf yang diketik) diterima oleh komputer.</li></ul>,<ul><li>Data diproses oleh CPU dan instruksi disampaikan ke layar.</li></ul>,<ul><li>Teks muncul di monitor sesuai dengan apa yang telah diketik.</li></ul>
Saat mengetik dan menyimpan dokumen,"<ul><li>Anda mengetikkan teks ""Hello, World!"" menggunakan keyboard.</li><li>Keyboard mengubah setiap huruf yang ditekan menjadi sinyal digital yang dikirim ke CPU.</li></ul>","<ul><li><b>Control Unit (CU)</b> membaca sinyal digital dari keyboard dan menginstruksikan <b>CPU</b> untuk menampilkan teks di layar.</li><li>Data sementara disimpan dalam <b>RAM</b>, sehingga bisa diedit dan diproses lebih lanjut.</li><li>Jika Anda menekan tombol ""Simpan,"" instruksi ini diproses oleh sistem operasi untuk menyimpan data ke hard drive atau SSD.</li></ul>","<ul><li>Teks yang Anda ketik langsung ditampilkan di layar monitor (visual output).</li><li>Jika dokumen disimpan, file baru dibuat dan disimpan di lokasi yang dipilih.</li></ul>"
Saat memutar musik di komputer,<ul><li>Anda klik tombol "Play" pada pemutar musik menggunakan mouse.</li></ul>,<ul><li>Control Unit membaca instruksi klik dan mencari file musik yang dipilih.</li><li>File audio diproses oleh CPU dan diubah menjadi sinyal digital yang dikirim ke kartu suara.</li></ul>,<ul><li>Sinyal dari kartu suara diterjemahkan menjadi suara yang dapat didengar melalui speaker atau headphone.</li></ul>
Saat menyalakan komputer,"Menekan Tombol Power<ul><li>Pengguna menekan tombol power pada casing komputer atau laptop.</li><li>Ini mengirimkan sinyal listrik ke <b>Power Supply Unit (PSU)</b>, yang mulai menyuplai daya ke semua komponen komputer.</li></ul>","Proses Booting Sistem <br> Setelah menerima input daya, beberapa tahap pemrosesan terjadi:<ul><li>Power-On Self Test (POST):<ul><li><b>BIOS/UEFI</b> (Basic Input Output System) memeriksa dan memastikan semua perangkat keras seperti RAM, hard drive, dan kartu grafis berfungsi dengan baik.</li><li>Jika terjadi masalah, BIOS akan menampilkan pesan kesalahan atau bunyi beep sebagai kode peringatan.</li></ul><li>Load Boot Loader:<ul><li>Jika POST berhasil, BIOS/UEFI mencari perangkat penyimpanan (hard drive, SSD) untuk menemukan sistem operasi.</li><li><b>Boot loader</b> membaca file sistem dan memuat sistem operasi ke dalam RAM.</li></ul><li>Kernel Sistem Operasi:<ul><li>Kernel adalah inti sistem operasi dan mulai dijalankan untuk mengatur seluruh perangkat keras dan perangkat lunak.</li><li>Semua perangkat input/output (seperti mouse, keyboard, monitor) diinisialisasi agar siap digunakan.</li></ul></ul>","Menampilkan Antarmuka Sistem Operasi<ul><li>Setelah sistem operasi selesai dimuat, antarmuka pengguna seperti <b>desktop</b> atau <b>layar login</b> ditampilkan di monitor.</li><li>Pengguna dapat mulai menggunakan komputer, seperti memasukkan kata sandi atau langsung menggunakan aplikasi.</li></ul>"
Saat mematikan komputer,"<ul><li>Pengguna memberikan perintah untuk mematikan komputer dengan cara:</li><li>Klik tombol ""Start"" > ""Shut Down"" pada Windows, atau</li><li>Menekan tombol power fisik pada komputer (jika diatur untuk shutdown).</li><li>Perintah ini diteruskan ke sistem operasi (OS) untuk memulai proses shutdown.</li></ul>","Sistem operasi menjalankan beberapa tahapan pemrosesan:<ul><li>Menutup Aplikasi:<ul><li>Sistem operasi menutup semua aplikasi yang sedang berjalan dan meminta pengguna menyimpan perubahan (jika ada file yang belum disimpan).</li></ul><li>Memutuskan Layanan dan Proses:<ul><li>Semua proses latar belakang, layanan, dan tugas sistem dihentikan dengan aman.</li></ul><li>Menulis Data ke Disk:<ul><li>Data yang belum disimpan atau cache sistem ditulis ke disk untuk memastikan tidak ada kehilangan data.</li></ul><li>Memutuskan Koneksi Jaringan:<ul><li>Sistem memutuskan semua koneksi jaringan aktif untuk menjaga keamanan.</li></ul><li>Mengirim Sinyal Shutdown ke Perangkat Keras:<ul><li>Sistem operasi menginstruksikan perangkat keras untuk berhenti berfungsi secara bertahap.</li></ul></ul>","<ul><li>Monitor akan menampilkan pesan ""Shutting Down"" atau ""Turning Off"" sebelum layar mati.</li><li>Setelah semua proses selesai, catu daya dihentikan, dan komputer benar-benar mati.</li></ul>"
Saat Mengedit Foto di Photoshop di komputer,"<ul><li>Pengguna membuka aplikasi Photoshop dan mengunggah gambar.</li><li>Menggunakan alat edit seperti crop, filter, dan penyesuaian warna.</li></ul>",<ul><li>Photoshop membaca data gambar dan menampilkannya dalam bentuk piksel.</li><li>Perubahan yang dilakukan diproses oleh CPU dan GPU.</li><li>Sistem menyimpan hasil edit sementara dalam RAM sebelum disimpan ke dalam format file seperti PNG atau JPEG.</li></ul>,<ul><li>Gambar yang telah diedit tersimpan dalam format yang diinginkan dan bisa dicetak atau dibagikan.</li></ul>
Saat Bermain Game di Komputer,"<ul><li>Pengguna mengontrol game dengan keyboard, mouse, atau gamepad.</li></ul>",<ul><li>Komputer membaca input dan memprosesnya dengan engine game.</li><li>Grafis di-render oleh GPU dan ditampilkan di layar.</li></ul>,"<ul><li>Game berjalan dengan animasi, efek suara, dan interaksi real-time.</li></ul>"
Saat Mencetak Dokumen menggunakan Microsoft Word di komputer,<ul><li>Pengguna membuka dokumen di Microsoft Word yang ingin dicetak.</li><li>Klik menu <b>File</b> > pilih <b>Print</b> (atau tekan shortcut <b>Ctrl + P</b>).</li></ul>,"<ul><li>Microsoft Word mengirim data cetak ke <b>Print Spooler</b>, yaitu sistem yang mengatur antrean pencetakan di komputer.</li><li>Dokumen diubah ke format yang bisa dibaca oleh printer, seperti <b>PostScript (PS), Printer Control Language (PCL), atau PDF</b>.</li></ul>","<ul><li>Printer mulai mencetak halaman satu per satu sesuai dengan pengaturan yang telah ditentukan.</li><li>Jika ada lebih dari satu halaman, printer akan mencetak halaman berikutnya hingga selesai.</li><li>Setelah pencetakan selesai, dokumen yang sudah dicetak keluar dari printer dan siap digunakan.</li><li>Microsoft Word menampilkan status pencetakan di layar. Jika berhasil, akan muncul notifikasi ""<b>Print job completed</b>"".</li></ul>"
Saat Mengunduh dan Menginstal Aplikasi di komputer,"<ul><li>Pengguna mencari aplikasi di internet atau Microsoft Store.</li><li>Mengklik tombol ""Download"" dan setelah selesai, menjalankan file instalasi.</li></ul>","<ul><li>Komputer mengunduh file dari server aplikasi ke dalam penyimpanan lokal.</li><li>Saat instalasi, sistem mengekstrak file dan mengatur konfigurasi program di sistem operasi.</li></ul>",<ul><li>Aplikasi berhasil terinstal dan siap digunakan.</li></ul>
Saat Browsing Internet dan Mencari Informasi di Google menggunakan komputer,"<ul><li>Pengguna membuka browser (Chrome, Firefox, Edge).</li><li>Mengetik kata kunci pencarian di Google dan menekan ""Enter"".</li></ul>",<ul><li>Browser mengirim permintaan ke server Google melalui internet.</li><li>Server Google mencari data yang sesuai dan mengirimkan hasilnya ke browser.</li><li>Browser menampilkan halaman hasil pencarian di layar.</li></ul>,<ul><li>Pengguna melihat daftar situs web yang relevan dan bisa mengklik salah satu untuk mendapatkan informasi lebih lanjut.</li></ul>
